1787794603 2.90 3.26 3.44 3/4474 90554 | === RUN 4 ===
1787794608 2.99 3.27 3.45 4/4514 90564 | === RUN 4 ===
1787794613 2.91 3.25 3.44 5/4578 90574 | === RUN 4 ===
1787794618 2.92 3.25 3.43 3/4571 90584 | === RUN 4 ===
1787794623 2.84 3.22 3.43 3/4555 90594 | === RUN 4 ===
1787794628 2.86 3.22 3.42 10/4513 90604 | === RUN 4 ===
1787794633 3.19 3.28 3.44 6/4540 90614 | === RUN 4 ===
1787794638 3.09 3.26 3.44 2/4531 90624 | === RUN 4 ===
1787794643 2.93 3.22 3.42 7/4577 90634 | === RUN 4 ===
1787794648 2.77 3.19 3.41 3/4546 90644 | === RUN 4 ===
1787794653 2.71 3.17 3.40 5/4568 90654 | === RUN 4 ===
1787794658 2.97 3.21 3.42 4/4554 90664 | === RUN 4 ===
1787794663 2.81 3.18 3.40 4/4542 90674 | === RUN 4 ===
1787794668 2.67 3.14 3.39 5/4574 90684 | === RUN 4 ===
1787794673 2.54 3.11 3.38 5/4619 90694 | === RUN 4 ===
1787794678 2.49 3.09 3.37 6/4598 90704 | === RUN 4 ===
1787794683 2.77 3.14 3.38 3/4601 90714 | === RUN 4 ===
1787794688 2.87 3.15 3.39 2/4589 90724 | === RUN 4 ===
1787794693 2.88 3.15 3.38 5/4643 90734 | === RUN 4 ===
1787794698 2.89 3.14 3.38 1/4663 90744 | === RUN 4 ===
1787794703 2.82 3.13 3.37 4/4720 90754 | === RUN 4 ===
1787794708 2.92 3.14 3.38 3/4708 90764 | === RUN 4 ===
1787794713 2.92 3.14 3.37 7/4684 90774 | === RUN 4 ===
1787794718 2.93 3.14 3.37 3/4659 90784 | === RUN 4 ===
1787794723 2.93 3.13 3.37 3/4630 90794 | === RUN 4 ===
1787794728 2.94 3.13 3.37 4/4678 90804 | === RUN 4 ===
1787794733 2.78 3.09 3.35 3/4728 90814 | === RUN 4 ===
1787794738 2.72 3.08 3.35 4/4733 90824 | === RUN 4 ===
1787794743 2.98 3.12 3.36 5/4818 90834 | === RUN 4 ===
1787794748 2.82 3.09 3.35 2/4886 90844 | === RUN 4 ===
1787794753 2.76 3.07 3.34 2/4937 90854 | === RUN 4 ===
1787794758 2.62 3.04 3.33 2/4991 90864 | === RUN 4 ===
1787794763 2.81 3.07 3.34 3/5077 90874 | === RUN 4 ===
1787794768 2.66 3.03 3.33 2/4281 90935 | === RUN 5 ===
1787794773 2.53 3.00 3.31 3/4247 90945 | === RUN 5 ===
1787794778 2.41 2.97 3.30 3/4284 90955 | === RUN 5 ===
1787794783 2.54 2.98 3.30 2/4257 90965 | === RUN 5 ===
1787794788 3.13 3.10 3.34 2/4313 90975 | === RUN 5 ===
1787794793 3.20 3.12 3.34 12/4352 90985 | === RUN 5 ===
1787794798 3.35 3.15 3.35 6/4345 90995 | === RUN 5 ===
1787794803 3.48 3.18 3.36 4/4352 91005 | === RUN 5 ===
1787794808 3.44 3.18 3.36 3/4326 91015 | === RUN 5 ===
1787794813 3.41 3.17 3.36 3/4339 91025 | === RUN 5 ===
1787794818 3.37 3.17 3.36 5/4378 91035 | === RUN 5 ===
1787794823 4.22 3.35 3.41 3/4359 91045 | === RUN 5 ===
1787794828 4.21 3.36 3.42 2/4353 91055 | === RUN 5 ===
1787794833 4.03 3.34 3.41 3/4366 91065 | === RUN 5 ===
1787794838 4.03 3.35 3.41 2/4333 91075 | === RUN 5 ===
1787794843 3.94 3.34 3.41 4/4365 91085 | === RUN 5 ===
1787794848 3.79 3.32 3.40 4/4426 91095 | === RUN 5 ===
1787794853 3.81 3.33 3.41 4/4452 91105 | === RUN 5 ===
1787794858 3.90 3.36 3.42 4/4425 91115 | === RUN 5 ===
1787794863 3.83 3.35 3.41 5/4464 91125 | === RUN 5 ===
1787794868 3.84 3.36 3.42 3/4417 91135 | === RUN 5 ===
1787794873 3.78 3.36 3.41 2/4393 91145 | === RUN 5 ===
1787794878 3.55 3.32 3.40 4/4465 91155 | === RUN 5 ===
1787794883 3.51 3.31 3.40 3/4439 91165 | === RUN 5 ===
1787794888 3.47 3.31 3.40 4/4488 91175 | === RUN 5 ===
1787794893 3.51 3.32 3.40 2/4443 91185 | === RUN 5 ===
1787794898 3.95 3.41 3.43 5/4473 91195 | === RUN 5 ===
1787794903 3.95 3.42 3.43 5/4479 91205 | === RUN 5 ===
1787794908 4.12 3.47 3.45 5/4506 91215 | === RUN 5 ===
1787794913 4.19 3.49 3.46 29/4506 91225 | === RUN 5 ===
1787794918 4.17 3.50 3.46 4/4510 91237 | === RUN 5 ===
1787794923 4.08 3.49 3.46 6/4506 91247 | === RUN 5 ===
1787794928 3.99 3.48 3.45 3/4449 91257 | === RUN 5 ===
1787794933 4.07 3.51 3.46 5/4476 91267 | === RUN 5 ===
1787794938 3.99 3.50 3.46 3/4505 91277 | === RUN 5 ===
1787794943 6.15 3.96 3.61 18/4573 91287 | === RUN 5 ===
1787794948 7.26 4.22 3.70 14/4565 91297 | === RUN 5 ===
1787794953 7.00 4.22 3.70 6/4489 91307 | === RUN 5 ===
1787794958 6.68 4.20 3.69 4/4507 91317 | === RUN 5 ===
1787794963 6.30 4.16 3.68 3/4475 91327 | === RUN 5 ===
1787794968 6.04 4.14 3.68 5/4531 91337 | === RUN 5 ===
